"Index","Open","High","Low","Close","Volume"
1973-01-06,367,372.5,366.5,369.5,4080
1973-01-07,367.2,371.5,367.2,368.8,1923
1973-01-08,368.1,369.5,366.2,366.8,1562
1973-01-09,366.5,368.5,366,368.3,1105
1973-01-10,374,377.5,373,377.2,2934
1973-01-11,377,378.5,373.5,375,2027
1973-01-12,374,374.3,369.7,373,2563
1973-01-13,373.5,373.5,368.1,368.3,3961
1973-01-14,367.2,368.5,364.5,366.7,3790
1973-01-15,366,366.5,362.7,363.2,2840
1973-01-16,364,366,364,365.9,1421
1973-01-17,365,369,365,368.5,1845
1973-01-18,370,371,366,370.1,1740
1973-01-19,369,370.4,368,368.4,407
1973-01-20,365,366.5,364.2,364.9,1057
1973-01-21,366.1,366.5,361.5,361.9,2745
1973-01-22,357,361,357,358.4,2165
1973-01-23,360,361.5,357,357.6,1487
1973-01-24,358,360.9,357,360.1,2339
1973-01-25,360.5,362.4,359.5,360.3,1311
1973-01-26,359.5,360.3,355,359.4,1007
1973-01-27,360,362.5,359,359.6,1705
1973-01-28,360.1,362,360,360.4,1637
1973-01-29,362,378,361,377,1158
1973-01-30,376,379,374,376.6,1058
1973-01-31,380,387,380,385.8,846
1973-02-01,385,400,385,388.6,340
1973-02-02,389.5,389.5,385,386.2,103
1973-02-03,383,385,383,385,96
1973-02-04,384.5,386,382.8,382.8,21
1973-02-05,389,389,388,388,16
1973-02-06,385,387.6,385,387.6,71
1973-02-07,388,392,388,392,31
1973-02-08,395,395,391,391,8
1973-02-09,389.5,390.5,389.5,390.5,3
1973-02-10,385,388,383.5,383.5,33
1973-02-11,391,391.9,391,391.9,10
1973-02-12,391,391,389,389.8,12
1973-02-13,381.6,381.6,376,376,14
1973-02-14,385.5,385.5,381.3,381.3,2
1973-02-15,385,386,383.5,384.5,47
1973-02-16,385.8,385.8,385.8,385.8,97
1973-02-17,381.2,381.2,381.2,381.2,0
1973-02-18,379,379,377.6,377.6,0
1973-02-19,373,374.5,372,374,1897
1973-02-20,375.3,378,375,377.7,1319
1973-02-21,383.5,388.3,383.5,385.1,3144
1973-02-22,381,381,378,378.3,1799
1973-02-23,376.5,378.5,376.5,377.7,777
